filename, language, Markdown, YAML, Dart, Groovy, Properties, C++, JSON, Swift, XML, Java, comment, blank, total
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/NotificationScreen/Widgets/TotoNotificationWidget.dart, Dart, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 14, 3, 72
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Models/firebaseModel.dart, Dart, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Models/levelModel.dart, Dart, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 2, 5, 57
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Models/userid_model.dart, Dart, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/PawScreen.dart, Dart, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 3, 43
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Widgets/dispenseFood.dart, Dart, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 3, 63
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Widgets/dispenseWater.dart, Dart, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 2, 55
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Widgets/foodLevel.dart, Dart, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 2, 96
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Widgets/scheduleWidget.dart, Dart, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 159, 25, 286
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Widgets/schedulepage.dart, Dart, 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 40, 31, 389
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Widgets/totoLevels.dart, Dart, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 10, 3, 62
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/PawScreen/Widgets/waterLevel.dart, Dart, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/SettingsScreen/SettingsScreen.dart, Dart, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 1, 17, 113
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/SettingsScreen/Widgets/PushNotifications.dart, Dart, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 25, 19, 99
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/SettingsScreen/Widgets/ReportProblemWidget.dart, Dart, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 14, 106
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/SettingsScreen/Widgets/SendFeedbackWidget.dart, Dart, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 14, 106
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/SettingsScreen/Widgets/ThemeChanger.dart, Dart, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 35, 13, 102
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/VideoChatScreen/VideochatScreen.dart, Dart, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 99, 20, 219
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/Tabs/home_page.dart, Dart, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 20, 18, 165
/Users/Jonathan/Dev/classes/cen5035/Toto/lib/main.dart, Dart, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 33, 12, 82
/Users/Jonathan/Dev/classes/cen5035/Toto/pubspec.yaml, YAML, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 43, 17, 102
/Users/Jonathan/Dev/classes/cen5035/Toto/test/widget_test.dart, Dart, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 30, 16, 215
Total, -, 15, 42, 2834, 79, 8, 1, 185, 13, 100, 11, 622, 426, 4336
